yr,i,fd,value
2005,oil,changinv,2.123
2005,hos,pce,570.7570000000001
2005,rnt,pce,65.715
2005,pla,changinv,2.109
2005,pla,fed_equipment,0.013000000000000001
2005,pla,residential,0.224
2005,pla,equipment,0.124
2005,pla,pce,51.35
2005,fof,changinv,-0.804
2005,fof,pce,6.884
2005,fin,pce,97.971
2005,tsv,def_intelprop,56.787
2005,tsv,residential,4.681
2005,tsv,equipment,42.172000000000004
2005,tsv,state_intelprop,11.55
2005,tsv,intelprop,225.994
2005,tsv,pce,44.826
2005,tsv,fed_intelprop,54.725
2005,nrs,pce,151.012
2005,sec,pce,118.128
2005,art,intelprop,3.612
2005,art,pce,46.351
2005,mov,changinv,0.138
2005,mov,intelprop,36.207
2005,mov,pce,43.438
2005,fpd,def_equipment,0.001
2005,fpd,changinv,2.721
2005,fpd,state_equipment,3.138
2005,fpd,fed_equipment,0.024
2005,fpd,residential,0.593
2005,fpd,equipment,38.674
2005,fpd,pce,94.795
2005,slg,state_consume,1237.257
2005,pri,changinv,0.353
2005,pri,pce,5.776
2005,grd,pce,25.619
2005,sle,pce,45.445
2005,osv,pce,431.51
2005,trn,pce,0.801
2005,smn,changinv,0.007
2005,smn,structures,69.392
2005,smn,equipment,0.747
2005,fmt,def_equipment,1.319
2005,fmt,changinv,5.549
2005,fmt,state_equipment,1.008
2005,fmt,fed_equipment,0.417
2005,fmt,equipment,10.787
2005,fmt,pce,26.314
2005,pet,changinv,0.134
2005,pet,pce,283.13800000000003
2005,cep,def_equipment,28.299
2005,cep,changinv,6.131
2005,cep,state_equipment,15.646
2005,cep,fed_equipment,6.774
2005,cep,residential,0.389
2005,cep,equipment,205.229
2005,cep,pce,126.861
2005,wst,pce,13.365
2005,mot,def_equipment,5.127
2005,mot,changinv,2.629
2005,mot,state_equipment,9.582
2005,mot,fed_equipment,0.137
2005,mot,equipment,212.226
2005,mot,pce,288.523
2005,adm,pce,39.357
2005,soc,pce,117.162
2005,alt,changinv,1.867
2005,alt,pce,312.062
2005,pmt,changinv,4.15
2005,pmt,pce,1.2770000000000001
2005,trk,pce,9.442
2005,fdd,defense,477.97200000000004
2005,wtt,pce,11.120000000000001
2005,wpd,changinv,1.545
2005,wpd,fed_equipment,0.035
2005,wpd,structures,0.44
2005,wpd,residential,12.951
2005,wpd,pce,7.648000000000001
2005,oth,intelprop,3.036
2005,oth,pce,-38.012
2005,wrh,pce,0.341
2005,ott,pce,1.417
2005,che,changinv,3.955
2005,che,equipment,2.5380000000000003
2005,che,pce,352.43600000000004
2005,air,pce,80.712
2005,mmf,def_equipment,0.067
2005,mmf,changinv,4.37
2005,mmf,state_equipment,1.061
2005,mmf,fed_equipment,0.084
2005,mmf,equipment,49.463
2005,mmf,pce,207.101
2005,otr,pce,10.135
2005,min,changinv,0.796
2005,min,equipment,0.052000000000000005
2005,min,pce,0.882
2006,ppd,changinv,0.8250000000000001
2006,ppd,pce,39.277
2006,res,pce,468.593
2006,com,def_equipment,0.8230000000000001
2006,com,state_equipment,0.443
2006,com,def_intelprop,4.588
2006,com,equipment,7.421
2006,com,state_intelprop,6.844
2006,com,intelprop,112.57600000000001
2006,com,fed_intelprop,11.171
2006,amb,pce,664.296
2006,fbp,changinv,2.943
2006,fbp,pce,747.319
2006,rec,pce,138.80700000000002
2006,con,fed_structures,10.681000000000001
2006,con,def_structures,7.795
2006,con,state_invest,246.193
2006,con,structures,317.83
2006,con,residential,649.313
2006,agr,changinv,-2.247
2006,agr,pce,101.424
2006,eec,def_equipment,0.484
2006,eec,changinv,2.5420000000000003
2006,eec,state_equipment,1.968
2006,eec,fed_equipment,1.17
2006,eec,residential,6.128
2006,eec,equipment,27.206
2006,eec,pce,64.228
2006,use,fed_structures,-1.239
2006,use,def_equipment,-0.047
2006,use,changinv,-0.227
2006,use,def_structures,-0.004
2006,use,state_equipment,-4.048
2006,use,fed_equipment,-0.075
2006,use,state_invest,5.255
2006,use,structures,-1.408
2006,use,residential,-2.601
2006,use,equipment,-68.511
2006,use,pce,135.699
2006,fnd,nondefense,263.782
2006,pub,changinv,0.993
2006,pub,def_intelprop,1.08
2006,pub,state_intelprop,2.657
2006,pub,intelprop,71.245
2006,pub,pce,112.043
2006,pub,fed_intelprop,1.465
2006,hou,pce,1415.095
2006,ins,residential,11.23
2006,ins,pce,278.039
2006,tex,changinv,0.6900000000000001
2006,tex,state_equipment,0.011
2006,tex,fed_equipment,0.021
2006,tex,residential,2.6390000000000002
2006,tex,equipment,9.742
2006,tex,pce,66.289
2006,leg,residential,44.67
2006,leg,pce,86.8
2006,fen,pce,9.705
2006,uti,pce,229.632
2006,nmp,changinv,1.67
2006,nmp,pce,20.555
2006,brd,equipment,6.9510000000000005
2006,brd,intelprop,20.066
2006,brd,pce,225.50300000000001
2006,bnk,pce,176.49
2006,ore,structures,12.299
2006,ore,residential,109.97800000000001
2006,ore,pce,2.306
2006,edu,pce,232.544
2006,ote,def_equipment,21.589000000000002
2006,ote,changinv,3.322
2006,ote,state_equipment,0.797
2006,ote,fed_equipment,3.705
2006,ote,equipment,36.96
2006,ote,pce,34.39
2006,mch,def_equipment,0.9470000000000001
2006,mch,changinv,5.797
2006,mch,state_equipment,6.979
2006,mch,fed_equipment,0.54
2006,mch,equipment,233.614
2006,mch,pce,17.997
2006,dat,def_intelprop,0.756
2006,dat,state_intelprop,2.349
2006,dat,intelprop,11.939
2006,dat,pce,7.611
2006,dat,fed_intelprop,0.76
2006,amd,pce,94.673
2006,oil,changinv,4.508
2006,hos,pce,614.995
2006,rnt,pce,72.95
2006,pla,changinv,2.508
2006,pla,fed_equipment,0.02
2006,pla,residential,0.218
2006,pla,equipment,0.14
2006,pla,pce,55.297000000000004
2006,fof,changinv,0.747
2006,fof,pce,6.4430000000000005
2006,fin,pce,105.123
2006,tsv,def_intelprop,59.283
2006,tsv,residential,4.354
2006,tsv,equipment,43.357
2006,tsv,state_intelprop,12.82
2006,tsv,intelprop,246.922
2006,tsv,pce,48.315
2006,tsv,fed_intelprop,55.832
2006,nrs,pce,159.913
2006,sec,pce,135.162
2006,art,intelprop,3.887
2006,art,pce,50.449
2006,mov,changinv,0.117
2006,mov,intelprop,36.724000000000004
2006,mov,pce,42.001
2006,fpd,def_equipment,0.001
2006,fpd,changinv,1.942
2006,fpd,state_equipment,2.194
2006,fpd,fed_equipment,0.034
2006,fpd,residential,0.621
2006,fpd,equipment,40.621
2006,fpd,pce,99.046
2006,slg,state_consume,1308.292
2006,pri,changinv,0.41400000000000003
2006,pri,pce,7.101
2006,grd,pce,28.254
2006,sle,pce,48.484
2006,osv,pce,453.718
2006,trn,pce,0.878
2006,smn,changinv,0.006
2006,smn,structures,96.035
2006,smn,equipment,1.237
2006,fmt,def_equipment,2.067
2006,fmt,changinv,4.876
2006,fmt,state_equipment,1.1500000000000001
2006,fmt,fed_equipment,0.765
2006,fmt,equipment,13.035
2006,fmt,pce,28.107
2006,pet,changinv,11.728
2006,pet,pce,319.87
2006,cep,def_equipment,27.831
2006,cep,changinv,2.584
2006,cep,state_equipment,13.89
2006,cep,fed_equipment,10.594
2006,cep,residential,0.432
2006,cep,equipment,224.56900000000002
2006,cep,pce,140.145
2006,wst,pce,14.963000000000001
2006,mot,def_equipment,12.286
2006,mot,changinv,2.984
2006,mot,state_equipment,14.992
2006,mot,fed_equipment,0.483
2006,mot,equipment,228.687
2006,mot,pce,274.813
2006,adm,pce,40.576
2006,soc,pce,124.685
2006,alt,changinv,2.541
2006,alt,pce,323.36
2006,pmt,changinv,3.248
2006,pmt,pce,1.722
2006,trk,pce,9.73
2006,fdd,defense,501.26800000000003
2006,wtt,pce,12.077
2006,wpd,changinv,0.8310000000000001
2006,wpd,fed_equipment,0.043000000000000003
2006,wpd,structures,0.431
2006,wpd,residential,11.184000000000001
2006,wpd,pce,7.752
2006,oth,intelprop,2.973
2006,oth,pce,-37.423
2006,wrh,pce,0.369
2006,ott,pce,1.7730000000000001
2006,che,changinv,7.381
2006,che,equipment,3.0380000000000003
2006,che,pce,385.32
2006,air,pce,85.13
2006,mmf,def_equipment,0.067
2006,mmf,changinv,4.181
2006,mmf,state_equipment,0.756
2006,mmf,fed_equipment,0.127
2006,mmf,equipment,54.151
2006,mmf,pce,218.124
2006,otr,pce,10.829
2006,min,changinv,2.087
2006,min,equipment,0.065
2006,min,pce,0.979
2012,ppd,changinv,0.741
2012,ppd,pce,44.573
2012,res,pce,570.602
2012,com,def_equipment,2.086
2012,com,state_equipment,1.1300000000000001
2012,com,def_intelprop,6.816
2012,com,equipment,18.701
2012,com,state_intelprop,7.828
2012,com,intelprop,169.328
2012,com,fed_intelprop,17.537
2012,amb,pce,848.179
2012,fbp,changinv,5.006
2012,fbp,pce,903.613
2012,rec,pce,162.802
2012,con,fed_structures,14.843
2012,con,def_structures,8.107
2012,con,state_invest,261.829
2012,con,structures,312.909
2012,con,residential,313.747
2012,agr,changinv,-17.856
2012,agr,pce,121.08200000000001
2012,eec,def_equipment,1.145
2012,eec,changinv,2.456
2012,eec,state_equipment,1.738
2012,eec,fed_equipment,1.19
2012,eec,residential,7.916
2012,eec,equipment,33.395
2012,eec,pce,75.623
2012,use,fed_structures,-0.365
2012,use,changinv,9.191
2012,use,def_structures,-0.004
2012,use,state_equipment,-8.262
2012,use,fed_equipment,-0.077
2012,use,state_invest,3.122
2012,use,structures,-1.375
2012,use,residential,-1.059
2012,use,equipment,-84.533
2012,use,pce,122.306
2012,fnd,nondefense,348.913
2012,pub,changinv,0.166
2012,pub,def_intelprop,1.545
2012,pub,state_intelprop,4.328
2012,pub,intelprop,91.646
2012,pub,pce,102.669
2012,pub,fed_intelprop,2.093
2012,hou,pce,1702.24
2012,ins,residential,5.5840000000000005
2012,ins,pce,296.67
2012,tex,changinv,0.972
2012,tex,state_equipment,0.047
2012,tex,fed_equipment,0.107
2012,tex,residential,1.3820000000000001
2012,tex,equipment,4.328
2012,tex,pce,61.712
2012,leg,residential,14.388
2012,leg,pce,90.901
2012,fen,pce,7.595
2012,uti,pce,242.393
2012,nmp,changinv,1.141
