yr,va,j,value
2005,compen,smn,15.617
2005,compen,fmt,81.071
2005,compen,pet,13.466000000000001
2005,compen,mvt,93.166
2005,compen,cep,123.2
2005,compen,wst,18.905
2005,compen,mot,75.371
2005,compen,adm,255.88500000000002
2005,compen,soc,59.45
2005,compen,alt,11.311
2005,compen,pmt,30.701
2005,compen,trk,70.123
2005,compen,fdd,185.991
2005,compen,gmt,72.252
2005,compen,wtt,4.666
2005,compen,wpd,24.823
2005,compen,wht,379.42900000000003
2005,compen,wrh,27.863
2005,compen,ott,238.626
2005,compen,che,80.842
2005,compen,air,36.534
2005,compen,mmf,41.393
2005,compen,otr,58.042
2005,compen,min,14.379
2006,othtax,ppd,1.657
2006,othtax,res,3.378
2006,othtax,com,1.328
2006,othtax,amb,5.948
2006,othtax,fbp,5.315
2006,othtax,rec,2.487
2006,othtax,con,6.868
2006,othtax,agr,5.871
2006,othtax,eec,1.044
2006,othtax,pub,2.34
2006,othtax,hou,178.258
2006,othtax,fbt,2.616
2006,othtax,ins,4.753
2006,othtax,tex,0.637
2006,othtax,leg,0.972
2006,othtax,uti,20.991
2006,othtax,nmp,1.121
2006,othtax,brd,4.453
2006,othtax,bnk,12.686
2006,othtax,ore,20.05
2006,othtax,edu,5.408
2006,othtax,ote,1.971
2006,othtax,man,6.542
2006,othtax,mch,2.773
2006,othtax,dat,1.173
2006,othtax,amd,4.025
2006,othtax,oil,15.772
2006,othtax,hos,8.219
2006,othtax,rnt,5.984
2006,othtax,pla,1.326
2006,othtax,fof,0.77
2006,othtax,fin,0.773
2006,othtax,tsv,6.3260000000000005
2006,othtax,nrs,2.44
2006,othtax,sec,3.4290000000000003
2006,othtax,art,1.754
2006,othtax,mov,3.575
2006,othtax,fpd,0.373
2006,othtax,pri,0.791
2006,othtax,grd,0.764
2006,othtax,pip,1.542
2006,othtax,osv,8.205
2006,othtax,trn,0.6900000000000001
2006,othtax,smn,1.109
2006,othtax,fmt,2.2840000000000003
2006,othtax,pet,2.074
2006,othtax,mvt,2.757
2006,othtax,cep,6.112
2006,othtax,wst,1.552
2006,othtax,mot,2.704
2006,othtax,adm,2.594
2006,othtax,soc,0.793
2006,othtax,alt,0.304
2006,othtax,pmt,1.953
2006,othtax,trk,3.037
2006,othtax,gmt,2.642
2006,othtax,wtt,0.56
2006,othtax,wpd,0.59
2006,othtax,wht,9.645
2006,othtax,wrh,0.487
2006,othtax,ott,9.4
2006,othtax,che,8.228
2006,othtax,air,2.882
2006,othtax,mmf,1.379
2006,othtax,otr,1.924
2006,othtax,min,1.687
2006,surplus,ppd,25.144000000000002
2006,surplus,res,55.555
2006,surplus,com,18.345
2006,surplus,amb,88.877
2006,surplus,fbp,91.22800000000001
2006,surplus,rec,13.200000000000001
2006,surplus,con,267.529
2006,surplus,agr,81.996
2006,surplus,eec,20.022000000000002
2006,surplus,fnd,73.28
2006,surplus,pub,80.779
2006,surplus,hou,1115.98
2006,surplus,fbt,32.833
2006,surplus,ins,168.568
2006,surplus,tex,4.6450000000000005
2006,surplus,leg,76.285
2006,surplus,fen,7.79
2006,surplus,uti,117.84
2006,surplus,nmp,20.013
2006,surplus,brd,195.869
2006,surplus,bnk,197.215
2006,surplus,ore,165.132
2006,surplus,edu,23.906
2006,surplus,ote,32.432
2006,surplus,man,22.414
2006,surplus,mch,39.654
2006,surplus,dat,41.227000000000004
2006,surplus,amd,38.758
2006,surplus,oil,133.297
2006,surplus,hos,31.8
2006,surplus,rnt,125.288
2006,surplus,pla,21.486
2006,surplus,fof,11.606
2006,surplus,fin,18.615000000000002
2006,surplus,tsv,178.196
2006,surplus,nrs,3.866
2006,surplus,sec,30.429000000000002
2006,surplus,art,30.759
2006,surplus,mov,36.7
2006,surplus,fpd,10.139
2006,surplus,slg,132.209
2006,surplus,pri,13.014000000000001
2006,surplus,grd,11.332
2006,surplus,pip,4.923
2006,surplus,sle,29.951
2006,surplus,osv,89.534
2006,surplus,trn,13.931000000000001
2006,surplus,smn,21.045
2006,surplus,fmt,38.902
2006,surplus,pet,122.059
2006,surplus,mvt,30.261
2006,surplus,cep,88.08800000000001
2006,surplus,wst,9.297
2006,surplus,mot,55.738
2006,surplus,adm,88.66
2006,surplus,soc,13.519
2006,surplus,alt,1.581
2006,surplus,pmt,28.647000000000002
2006,surplus,trk,48.014
2006,surplus,fdd,122.089
2006,surplus,gmt,12.949
2006,surplus,wtt,7.577
2006,surplus,wpd,6.155
2006,surplus,wht,235.354
2006,surplus,wrh,11.666
2006,surplus,ott,122.676
2006,surplus,che,163.345
2006,surplus,air,16.138
2006,surplus,mmf,25.976
2006,surplus,otr,32.565
2006,surplus,min,31.882
2006,compen,ppd,31.081
2006,compen,res,174.02
2006,compen,com,127.443
2006,compen,amb,327.481
2006,compen,fbp,81.154
2006,compen,rec,36.485
2006,compen,con,421.295
2006,compen,agr,21.886
2006,compen,eec,30.291
2006,compen,fnd,121.538
2006,compen,pub,78.129
2006,compen,hou,13.217
2006,compen,fbt,75.027
2006,compen,ins,183.06900000000002
2006,compen,tex,14.771
2006,compen,leg,103.97800000000001
2006,compen,fen,60.268
2006,compen,uti,60.885
2006,compen,nmp,29.254
2006,compen,brd,106.896
2006,compen,bnk,207.683
2006,compen,ore,65.864
2006,compen,edu,113.11800000000001
2006,compen,ote,61.792
2006,compen,man,200.745
2006,compen,mch,79.304
2006,compen,dat,38.783
2006,compen,amd,59.31
2006,compen,oil,20.896
2006,compen,hos,253.46800000000002
