yr,m,i,value
1998,trd,ppd,21.943
1998,trd,fbp,197.279
1998,trd,agr,37.437
1998,trd,eec,36.501
1998,trd,use,54.389
1998,trd,pub,29.083000000000002
1998,trd,tex,35.295
1998,trd,nmp,21.751
1998,trd,ote,10.616
1998,trd,mch,74.021
1998,trd,oil,3.156
1998,trd,pla,41.629
1998,trd,fof,6.148
1998,trd,mov,5.766
1998,trd,fpd,33.08
1998,trd,pri,8.192
1998,trd,fmt,40.664
1998,trd,pet,59.821
1998,trd,cep,95.885
1998,trd,mot,81.717
1998,trd,alt,118.936
1998,trd,pmt,16.828
1998,trd,wpd,18.257
1998,trd,che,133.889
1998,trd,mmf,84.059
1998,trd,min,3.084
2004,trn,ppd,7.851
2004,trn,fbp,12.927
2004,trn,agr,25.751
2004,trn,eec,4.998
2004,trn,use,27.512
2004,trn,pub,3.475
2004,trn,tex,3.188
2004,trn,nmp,13.737
2004,trn,ote,1.768
2004,trn,mch,7.239
2004,trn,oil,21.656
2004,trn,pla,3.867
2004,trn,fof,2.652
2004,trn,mov,0.278
2004,trn,fpd,12.801
2004,trn,pri,2.601
2004,trn,fmt,5.746
2004,trn,pet,11.33
2004,trn,cep,7.767
2004,trn,mot,10.345
2004,trn,alt,5.11
2004,trn,pmt,6.569
2004,trn,wpd,6.363
2004,trn,che,18.54
2004,trn,mmf,13.481
2004,trn,min,16.749
2004,trd,ppd,28.377
2004,trd,fbp,264.71500000000003
2004,trd,agr,50.519
2004,trd,eec,54.058
2004,trd,use,62.023
2004,trd,pub,40.603
2004,trd,tex,51.116
2004,trd,nmp,29.872
2004,trd,ote,15.244
2004,trd,mch,87.84100000000001
2004,trd,oil,4.907
2004,trd,pla,53.188
2004,trd,fof,7.138
2004,trd,mov,8.371
2004,trd,fpd,49.116
2004,trd,pri,9.371
2004,trd,fmt,56.295
2004,trd,pet,86.09100000000001
2004,trd,cep,115.905
2004,trd,mot,112.666
2004,trd,alt,157.21
2004,trd,pmt,23.964000000000002
2004,trd,wpd,26.875
2004,trd,che,213.488
2004,trd,mmf,122.537
2004,trd,min,5.047
2000,trn,ppd,3.664
2000,trn,fbp,11.286
2000,trn,agr,19.852
2000,trn,eec,5.117
2000,trn,use,22.276
2000,trn,pub,3.198
2000,trn,tex,1.463
2000,trn,nmp,11.561
2000,trn,ote,2.462
2000,trn,mch,5.908
2000,trn,oil,21.786
2000,trn,pla,3.9410000000000003
2000,trn,fof,1.887
2000,trn,mov,0.255
2000,trn,fpd,9.729000000000001
2000,trn,pri,0.6920000000000001
2000,trn,fmt,4.6080000000000005
2000,trn,pet,9.277000000000001
2000,trn,cep,9.993
2000,trn,mot,12.828
2000,trn,alt,4.893
2000,trn,pmt,5.167
2000,trn,wpd,2.56
2000,trn,che,16.466
2000,trn,mmf,10.791
2000,trn,min,14.246
2000,trd,ppd,25.099
2000,trd,fbp,218.132
2000,trd,agr,42.852000000000004
2000,trd,eec,44.598
2000,trd,use,57.789
2000,trd,pub,33.665
2000,trd,tex,41.06
2000,trd,nmp,24.85
2000,trd,ote,13.868
2000,trd,mch,81.296
2000,trd,oil,3.999
2000,trd,pla,45.961
2000,trd,fof,6.261
2000,trd,mov,7.878
2000,trd,fpd,39.625
2000,trd,pri,8.675
2000,trd,fmt,45.896
2000,trd,pet,69.52
2000,trd,cep,112.296
2000,trd,mot,94.759
2000,trd,alt,135.016
2000,trd,pmt,19.619
2000,trd,wpd,19.919
2000,trd,che,157.354
2000,trd,mmf,96.135
2000,trd,min,3.583
1997,trn,ppd,6.356
1997,trn,fbp,9.757
1997,trn,agr,20.144000000000002
1997,trn,eec,3.253
1997,trn,use,15.295
1997,trn,pub,2.428
1997,trn,tex,2.87
1997,trn,nmp,8.994
1997,trn,ote,1.3820000000000001
1997,trn,mch,5.202
1997,trn,oil,23.024
1997,trn,pla,3.293
1997,trn,fof,1.943
1997,trn,mov,0.137
1997,trn,fpd,8.054
1997,trn,pri,2.327
1997,trn,fmt,4.021
1997,trn,pet,8.184000000000001
1997,trn,cep,6.297
1997,trn,mot,8.046
1997,trn,alt,4.659
1997,trn,pmt,5.32
1997,trn,wpd,4.375
1997,trn,che,15.671000000000001
1997,trn,mmf,8.689
1997,trn,min,15.573
1997,trd,ppd,21.169
1997,trd,fbp,193.435
1997,trd,agr,37.066
1997,trd,eec,34.177
1997,trd,use,55.456
1997,trd,pub,26.519000000000002
1997,trd,tex,34.379
1997,trd,nmp,19.650000000000002
1997,trd,ote,9.783
1997,trd,mch,65.504
1997,trd,oil,3.6750000000000003
1997,trd,pla,41.847
1997,trd,fof,6.165
1997,trd,mov,5.306
1997,trd,fpd,31.299
1997,trd,pri,7.738
1997,trd,fmt,39.779
1997,trd,pet,63.472
1997,trd,cep,91.771
1997,trd,mot,81.035
1997,trd,alt,112.536
1997,trd,pmt,16.962
1997,trd,wpd,17.168
1997,trd,che,125.032
1997,trd,mmf,78.924
1997,trd,min,3.123
2007,trn,ppd,10.017
2007,trn,fbp,20.543
2007,trn,agr,32.549
2007,trn,eec,6.015000000000001
2007,trn,use,34.051
2007,trn,pub,4.245
2007,trn,tex,3.4330000000000003
2007,trn,nmp,19.077
2007,trn,ote,3.17
