yr,i,fd,value
2009,leg,fed_structures,-9.974941178192706e-9
2005,leg,fed_structures,-9.97494104365464e-9
2006,leg,fed_structures,-9.974941045821211e-9
2012,leg,fed_structures,-9.99090912801058e-9
2014,leg,fed_structures,-9.990909130052543e-9
2013,leg,fed_structures,-9.990909126733873e-9
1999,leg,fed_structures,-9.974940985381276e-9
2002,leg,fed_structures,-9.990909112157473e-9
2017,leg,fed_structures,-9.990909132644971e-9
2016,leg,fed_structures,-9.974941069613548e-9
2015,leg,fed_structures,-9.97494105230716e-9
1998,leg,fed_structures,-9.974941037204294e-9
2004,leg,fed_structures,-9.97494105420049e-9
2000,leg,fed_structures,-9.990909048287443e-9
1997,leg,fed_structures,-9.974941031823237e-9
2007,leg,fed_structures,-9.974940976839257e-9
2010,leg,fed_structures,-9.97494106794346e-9
2003,leg,fed_structures,-9.990909121326044e-9
2011,leg,fed_structures,-9.974940953132973e-9
2001,leg,fed_structures,-9.990909114314919e-9
2008,fen,fed_structures,-9.974939998189819e-9
2009,fen,fed_structures,-9.974941351457377e-9
2005,fen,fed_structures,-9.974941013688005e-9
2006,fen,fed_structures,-9.974941003541064e-9
2012,fen,fed_structures,-9.990908991150162e-9
2014,fen,fed_structures,-9.990909176307874e-9
2013,fen,fed_structures,-9.990908935987092e-9
1999,fen,fed_structures,-9.974940868994645e-9
2002,fen,fed_structures,-9.990909091746189e-9
2017,fen,fed_structures,-9.990909211543538e-9
2016,fen,fed_structures,-9.974941279987819e-9
2015,fen,fed_structures,-9.974941192760511e-9
1998,fen,fed_structures,-9.974941018064744e-9
2004,fen,fed_structures,-9.974941007521184e-9
2000,fen,fed_structures,-9.99090899358841e-9
1997,fen,fed_structures,-9.974941019048027e-9
2007,fen,fed_structures,-9.974940845873244e-9
2010,fen,fed_structures,-9.974941103500128e-9
2003,fen,fed_structures,-9.990909106795328e-9
2011,fen,fed_structures,-9.97494077325071e-9
2001,fen,fed_structures,-9.990909102103723e-9
2008,uti,fed_structures,-9.974940981508852e-9
2009,uti,fed_structures,-9.974941228263196e-9
2005,uti,fed_structures,-9.97494105720794e-9
2006,uti,fed_structures,-9.974941050631991e-9
2012,uti,fed_structures,-9.990909177905825e-9
2014,uti,fed_structures,-9.990909173938881e-9
2013,uti,fed_structures,-9.990909160893618e-9
1999,uti,fed_structures,-9.974941034041837e-9
2002,uti,fed_structures,-9.990909130128443e-9
2017,uti,fed_structures,-9.990909171303886e-9
2016,uti,fed_structures,-9.974941177830604e-9
2015,uti,fed_structures,-9.974941148975305e-9
1998,uti,fed_structures,-9.974941033799842e-9
2004,uti,fed_structures,-9.97494106341839e-9
2000,uti,fed_structures,-9.990909098566687e-9
1997,uti,fed_structures,-9.97494104091468e-9
2007,uti,fed_structures,-9.97494103549768e-9
2010,uti,fed_structures,-9.974941100473064e-9
2003,uti,fed_structures,-9.990909129649317e-9
2011,uti,fed_structures,-9.974941094422145e-9
2001,uti,fed_structures,-9.990909154611156e-9
2008,nmp,fed_structures,-9.974941017507974e-9
2009,nmp,fed_structures,-9.974942123151893e-9
2005,nmp,fed_structures,-9.974940577629136e-9
2006,nmp,fed_structures,-9.974940574632319e-9
2012,nmp,fed_structures,-9.990909006551198e-9
2014,nmp,fed_structures,-9.990909008837918e-9
2013,nmp,fed_structures,-9.990909014252387e-9
1999,nmp,fed_structures,-9.974940594754053e-9
2002,nmp,fed_structures,-9.990908934041987e-9
2017,nmp,fed_structures,-9.99090897132085e-9
2016,nmp,fed_structures,-9.97494064149221e-9
2015,nmp,fed_structures,-9.974940618452003e-9
1998,nmp,fed_structures,-9.974940687239532e-9
2004,nmp,fed_structures,-9.974940569239316e-9
2000,nmp,fed_structures,-9.990908944077625e-9
1997,nmp,fed_structures,-9.974940761509634e-9
2007,nmp,fed_structures,-9.974940607737127e-9
2010,nmp,fed_structures,-9.97494074346793e-9
2003,nmp,fed_structures,-9.990908947725748e-9
2011,nmp,fed_structures,-9.97494065185374e-9
2001,nmp,fed_structures,-9.990909077064794e-9
2008,brd,fed_structures,-9.974940971344597e-9
2009,brd,fed_structures,-9.974941323531999e-9
2005,brd,fed_structures,-9.974941202118952e-9
2006,brd,fed_structures,-9.974941210750575e-9
2012,brd,fed_structures,-9.990909179837182e-9
2014,brd,fed_structures,-9.99090917067143e-9
2013,brd,fed_structures,-9.990909176603634e-9
1999,brd,fed_structures,-9.974941230414795e-9
2002,brd,fed_structures,-9.990909175303195e-9
2017,brd,fed_structures,-9.990909155666374e-9
2016,brd,fed_structures,-9.974941143706906e-9
2015,brd,fed_structures,-9.974941148703997e-9
1998,brd,fed_structures,-9.974941308120241e-9
2004,brd,fed_structures,-9.974941224204338e-9
2000,brd,fed_structures,-9.990909126777113e-9
1997,brd,fed_structures,-9.974941305214695e-9
2007,brd,fed_structures,-9.974941170803373e-9
2010,brd,fed_structures,-9.974941230055026e-9
2003,brd,fed_structures,-9.990909185113938e-9
2011,brd,fed_structures,-9.974941149966663e-9
2001,brd,fed_structures,-9.99090918368681e-9
2008,bnk,fed_structures,-9.974940270319854e-9
2009,bnk,fed_structures,-9.974941260932226e-9
2005,bnk,fed_structures,-9.974941134579933e-9
2006,bnk,fed_structures,-9.974941149436267e-9
2012,bnk,fed_structures,-9.990909157776997e-9
2014,bnk,fed_structures,-9.990909161702126e-9
2013,bnk,fed_structures,-9.99090916064644e-9
1999,bnk,fed_structures,-9.974941051782358e-9
2002,bnk,fed_structures,-9.990909130855376e-9
2017,bnk,fed_structures,-9.990909175785872e-9
2016,bnk,fed_structures,-9.974941181542285e-9
2015,bnk,fed_structures,-9.974941138088055e-9
1998,bnk,fed_structures,-9.97494109878768e-9
2004,bnk,fed_structures,-9.97494114220077e-9
2000,bnk,fed_structures,-9.990909067113675e-9
1997,bnk,fed_structures,-9.974941081960411e-9
2007,bnk,fed_structures,-9.974940954511844e-9
2010,bnk,fed_structures,-9.974941123574711e-9
2003,bnk,fed_structures,-9.990909147914074e-9
2011,bnk,fed_structures,-9.974940904680114e-9
2001,bnk,fed_structures,-9.990909152578651e-9
2008,ore,fed_structures,-9.974940708689278e-9
2009,ore,fed_structures,-9.97494122623566e-9
2005,ore,fed_structures,-9.974941040597031e-9
2006,ore,fed_structures,-9.974941043737e-9
2012,ore,fed_structures,-9.990909134019787e-9
2014,ore,fed_structures,-9.990909128834635e-9
2013,ore,fed_structures,-9.990909127322794e-9
1999,ore,fed_structures,-9.974940968998957e-9
2002,ore,fed_structures,-9.990909109405294e-9
2017,ore,fed_structures,-9.990909127210162e-9
2016,ore,fed_structures,-9.974941072773857e-9
2015,ore,fed_structures,-9.974941038687705e-9
1998,ore,fed_structures,-9.974940999097259e-9
2004,ore,fed_structures,-9.974941048882211e-9
2000,ore,fed_structures,-9.99090904788471e-9
1997,ore,fed_structures,-9.974940980160585e-9
2007,ore,fed_structures,-9.974940961095584e-9
2010,ore,fed_structures,-9.9749410582946e-9
2003,ore,fed_structures,-9.99090911819325e-9
2011,ore,fed_structures,-9.974940973440605e-9
2001,ore,fed_structures,-9.990909112094362e-9
2008,edu,fed_structures,-9.974940958678827e-9
2009,edu,fed_structures,-9.974941020592973e-9
2005,edu,fed_structures,-9.974940988102758e-9
2006,edu,fed_structures,-9.974940982957208e-9
2012,edu,fed_structures,-9.990909098686413e-9
2014,edu,fed_structures,-9.990909101665782e-9
2013,edu,fed_structures,-9.990909099631675e-9
1999,edu,fed_structures,-9.974940978831564e-9
2002,edu,fed_structures,-9.990909100322229e-9
2017,edu,fed_structures,-9.990909109849755e-9
2016,edu,fed_structures,-9.974940994680498e-9
2015,edu,fed_structures,-9.974940995241651e-9
1998,edu,fed_structures,-9.974940984247855e-9
