yr,m,i,value
2007,trd,leg,-9.974939148084147e-9
2010,trd,leg,-9.974939264606424e-9
2003,trd,leg,-9.99090842981066e-9
2011,trd,leg,-9.974939325615307e-9
2001,trd,leg,-9.990908563928854e-9
2008,trn,fen,-9.974935651628143e-9
2009,trn,fen,-9.974935498886581e-9
2005,trn,fen,-9.974934763728741e-9
2006,trn,fen,-9.974934815450628e-9
2012,trn,fen,-9.990907717060734e-9
2014,trn,fen,-9.990907435949629e-9
2013,trn,fen,-9.990907981719565e-9
1999,trn,fen,-9.974934565263734e-9
2002,trn,fen,-9.990906736031926e-9
2017,trn,fen,-9.990907346780237e-9
2016,trn,fen,-9.974936178263033e-9
2015,trn,fen,-9.974936219795732e-9
1998,trn,fen,-9.974935231820737e-9
2004,trn,fen,-9.974934469594107e-9
2000,trn,fen,-9.990907019420282e-9
1997,trn,fen,-9.974936453199601e-9
2007,trn,fen,-9.97493467773323e-9
2010,trn,fen,-9.97493490875534e-9
2003,trn,fen,-9.990906825452912e-9
2011,trn,fen,-9.97493510335612e-9
2001,trn,fen,-9.990906905346455e-9
2008,trd,fen,-9.974940099787352e-9
2009,trd,fen,-9.974939820017264e-9
2005,trd,fen,-9.97493927038209e-9
2006,trd,fen,-9.97493922694217e-9
2012,trd,fen,-9.990908814276911e-9
2014,trd,fen,-9.990908409068148e-9
2013,trd,fen,-9.99090891294976e-9
1999,trd,fen,-9.97493893814641e-9
2002,trd,fen,-9.990908402238022e-9
2017,trd,fen,-9.990908309556339e-9
2016,trd,fen,-9.97493888275414e-9
2015,trd,fen,-9.974938933918088e-9
1998,trd,fen,-9.974938853916913e-9
2004,trd,fen,-9.97493914843059e-9
2000,trd,fen,-9.990908461411408e-9
1997,trd,fen,-9.974938774636252e-9
2007,trd,fen,-9.974939200606812e-9
2010,trd,fen,-9.974939155009455e-9
2003,trd,fen,-9.990908424214967e-9
2011,trd,fen,-9.974939359806977e-9
2001,trd,fen,-9.99090855832152e-9
2008,trn,uti,-9.974934998566742e-9
2009,trn,uti,-9.974935613433593e-9
2005,trn,uti,-9.974934760365908e-9
2006,trn,uti,-9.974934810463228e-9
2012,trn,uti,-9.99090729970498e-9
2014,trn,uti,-9.990907418989633e-9
2013,trn,uti,-9.990907487942643e-9
1999,trn,uti,-9.974934479137154e-9
2002,trn,uti,-9.990906711846724e-9
2017,trn,uti,-9.990907350509652e-9
2016,trn,uti,-9.974936190438013e-9
