yr,i,j,value
2007,pla,ppd,3.1299742581460426
2010,pla,ppd,3.1458408737552057
2003,pla,ppd,2.2287350164445594
2011,pla,ppd,3.467119251755622
2001,pla,ppd,1.9794354405389236
2008,fof,ppd,4.227731816799592
2009,fof,ppd,4.1127197433284115
2005,fof,ppd,4.837621741145778
2006,fof,ppd,4.768371332684381
2012,fof,ppd,5.105821421929891
2014,fof,ppd,6.090801311311527
2013,fof,ppd,5.2093233569890085
1999,fof,ppd,4.476415916110294
2002,fof,ppd,4.246331954979672
2017,fof,ppd,7.238308541439707
2016,fof,ppd,6.1362661626726895
2015,fof,ppd,6.0959979559568955
1998,fof,ppd,4.101896404297013
2004,fof,ppd,4.681615874027295
2000,fof,ppd,4.1782707208400325
1997,fof,ppd,4.068017277444816
2007,fof,ppd,4.401557990500413
2010,fof,ppd,5.534069390686956
2003,fof,ppd,4.104089608351065
2011,fof,ppd,6.610867536993503
2001,fof,ppd,4.193576084201325
2008,fin,ppd,0.0
2009,fin,ppd,0.0
2005,fin,ppd,0.0
2006,fin,ppd,0.0
2012,fin,ppd,0.0
2014,fin,ppd,0.0
2013,fin,ppd,0.0
1999,fin,ppd,0.0
2002,fin,ppd,0.0
2017,fin,ppd,0.0
2016,fin,ppd,0.0
2015,fin,ppd,0.0
1998,fin,ppd,0.0
2004,fin,ppd,0.0
2000,fin,ppd,0.0
1997,fin,ppd,0.0
2007,fin,ppd,0.0
2010,fin,ppd,0.0
2003,fin,ppd,0.0
2011,fin,ppd,0.0
2001,fin,ppd,0.0
2008,tsv,ppd,2.1989061150316935
2009,tsv,ppd,1.7474883883329433
2005,tsv,ppd,2.2368807803122173
2006,tsv,ppd,2.3997317919171586
2012,tsv,ppd,2.0620769044744867
2014,tsv,ppd,2.1199240340868943
2013,tsv,ppd,2.0632072407557738
1999,tsv,ppd,2.0898671520660694
2002,tsv,ppd,2.4222644413736556
2017,tsv,ppd,3.632102781046382
2016,tsv,ppd,2.0250191740311463
2015,tsv,ppd,1.9162569231863325
1998,tsv,ppd,2.135203039237337
2004,tsv,ppd,1.9846557568760648
2000,tsv,ppd,2.2468607909609024
1997,tsv,ppd,1.8568978529179454
2007,tsv,ppd,2.4968506199354215
2010,tsv,ppd,2.0272103481446813
2003,tsv,ppd,2.3074777000315123
2011,tsv,ppd,1.8081456540503489
2001,tsv,ppd,2.345500001902201
2008,nrs,ppd,0.0
2009,nrs,ppd,0.0
2005,nrs,ppd,0.0
2006,nrs,ppd,0.0
2012,nrs,ppd,0.0
2014,nrs,ppd,0.0
2013,nrs,ppd,0.0
1999,nrs,ppd,0.0
2002,nrs,ppd,0.0
2017,nrs,ppd,0.0
2016,nrs,ppd,0.0
2015,nrs,ppd,0.0
1998,nrs,ppd,0.0
2004,nrs,ppd,0.0
2000,nrs,ppd,0.0
1997,nrs,ppd,0.0
2007,nrs,ppd,0.0
2010,nrs,ppd,0.0
2003,nrs,ppd,0.0
2011,nrs,ppd,0.0
2001,nrs,ppd,0.0
2008,sec,ppd,0.028057170668335314
2009,sec,ppd,0.04018711510404248
2005,sec,ppd,0.06893570913070984
2006,sec,ppd,0.0718068860115349
2012,sec,ppd,0.04787052865211527
2014,sec,ppd,0.037034215753733626
2013,sec,ppd,0.03688243164181325
1999,sec,ppd,0.0821568636470174
2002,sec,ppd,0.09452896795790972
2017,sec,ppd,0.03411299099061289
2016,sec,ppd,0.03689400033538335
2015,sec,ppd,0.029904253161055154
1998,sec,ppd,0.08078912463464684
2004,sec,ppd,0.055228505224013145
2000,sec,ppd,0.10433289576462998
1997,sec,ppd,0.0637605656427963
2007,sec,ppd,0.05172370729396601
2010,sec,ppd,0.03187915894918433
2003,sec,ppd,0.07740544688392803
2011,sec,ppd,0.02445450517887987
2001,sec,ppd,0.09377331839996224
2008,art,ppd,0.04045472266837259
2009,art,ppd,0.035551493398424165
2005,art,ppd,0.04238637463303931
2006,art,ppd,0.045363348972995605
2012,art,ppd,0.042282855147378305
2014,art,ppd,0.04040880806314877
2013,art,ppd,0.04234420636087678
1999,art,ppd,0.040756913370054465
2002,art,ppd,0.04860895720359531
2017,art,ppd,0.039688093264751735
2016,art,ppd,0.03738398607480299
2015,art,ppd,0.03621429125625447
1998,art,ppd,0.04484157779386224
2004,art,ppd,0.04059296738370646
2000,art,ppd,0.04378875991393423
1997,art,ppd,0.04183523081761811
2007,art,ppd,0.046384086943465755
2010,art,ppd,0.03309568567775937
2003,art,ppd,0.05073620915308855
2011,art,ppd,0.025164558806415462
