yr,va,j,value
2002,othtax,agr,0.0
2017,othtax,agr,0.0
2016,othtax,agr,0.0
2015,othtax,agr,0.0
1998,othtax,agr,0.0
2004,othtax,agr,0.0
2000,othtax,agr,0.0
1997,othtax,agr,0.0
2007,othtax,agr,0.0
2010,othtax,agr,0.0
2003,othtax,agr,0.0
2011,othtax,agr,0.0
2001,othtax,agr,0.0
2008,surplus,agr,96.41623558670368
2009,surplus,agr,81.05293367026957
2005,surplus,agr,97.4955458853478
2006,surplus,agr,81.66507251128634
2012,surplus,agr,121.8768370181898
2014,surplus,agr,136.00117933804245
2013,surplus,agr,155.7139852521487
1999,surplus,agr,65.5730394477658
2002,surplus,agr,58.96363127456612
2017,surplus,agr,108.7522038264318
2016,surplus,agr,101.62630515444522
2015,surplus,agr,117.51998553201136
1998,surplus,agr,66.83708880440587
2004,surplus,agr,102.37127380460886
2000,surplus,agr,71.42547231259492
1997,surplus,agr,72.56092179089646
2007,surplus,agr,93.58861097632527
2010,surplus,agr,96.571392142012
2003,surplus,agr,79.14846992469435
2011,surplus,agr,129.52623421045135
2001,surplus,agr,72.36398177756432
2008,compen,agr,25.527558259189544
2009,compen,agr,25.94221851272573
2005,compen,agr,21.92192235135196
2006,compen,agr,21.79767034565391
2012,compen,agr,28.466224219766325
2014,compen,agr,28.987547354799446
2013,compen,agr,28.42139044399046
1999,compen,agr,18.697944578727306
2002,compen,agr,20.736118867341446
2017,compen,agr,30.311224890496515
2016,compen,agr,29.279504176718923
2015,compen,agr,27.134516546780958
1998,compen,agr,18.03908276127726
2004,compen,agr,22.05582198525373
2000,compen,agr,19.562320743710828
1997,compen,agr,17.058757758640745
2007,compen,agr,25.172211938853668
2010,compen,agr,24.337045256409652
2003,compen,agr,20.38125576034072
2011,compen,agr,22.998915274771914
2001,compen,agr,20.757561341516507
2008,othtax,eec,0.0
2009,othtax,eec,0.0
2005,othtax,eec,0.0
2006,othtax,eec,0.0
2012,othtax,eec,0.0
2014,othtax,eec,0.0
2013,othtax,eec,0.0
1999,othtax,eec,0.0
2002,othtax,eec,0.0
2017,othtax,eec,0.0
2016,othtax,eec,0.0
2015,othtax,eec,0.0
1998,othtax,eec,0.0
2004,othtax,eec,0.0
2000,othtax,eec,0.0
1997,othtax,eec,0.0
2007,othtax,eec,0.0
2010,othtax,eec,0.0
2003,othtax,eec,0.0
2011,othtax,eec,0.0
2001,othtax,eec,0.0
2008,surplus,eec,23.68782171288903
2009,surplus,eec,21.68593216650842
2005,surplus,eec,12.920991977716488
2006,surplus,eec,20.04675718154529
2012,surplus,eec,19.901058901462957
2014,surplus,eec,20.031245989523846
2013,surplus,eec,24.30650605538527
1999,surplus,eec,14.261087872514297
2002,surplus,eec,14.593068798723323
2017,surplus,eec,25.835077271841666
2016,surplus,eec,22.42713730159309
2015,surplus,eec,27.935732118943598
1998,surplus,eec,11.69908354802354
2004,surplus,eec,12.467170648526123
2000,surplus,eec,13.526018853965686
1997,surplus,eec,19.11884927706502
2007,surplus,eec,18.134557122355584
2010,surplus,eec,21.396498137793966
2003,surplus,eec,16.773540658579872
2011,surplus,eec,17.647130685588206
2001,surplus,eec,13.329094907619222
2008,compen,eec,30.993758752945777
2009,compen,eec,29.124254812668465
2005,compen,eec,29.089730570621747
2006,compen,eec,30.328454783272566
2012,compen,eec,32.02264947318915
2014,compen,eec,33.72552405318064
2013,compen,eec,33.15409032449897
1999,compen,eec,29.490842082950415
2002,compen,eec,28.02468924134675
2017,compen,eec,36.88063227541319
2016,compen,eec,35.0180394084391
2015,compen,eec,34.69699192117731
1998,compen,eec,28.13124656510822
2004,compen,eec,28.565264698281496
2000,compen,eec,31.25093924101495
1997,compen,eec,27.032651491490387
2007,compen,eec,31.085952129744836
2010,compen,eec,29.323023985589597
2003,compen,eec,27.718766214505315
2011,compen,eec,30.759266969038052
2001,compen,eec,30.286066432073508
2008,othtax,fnd,0.0
2009,othtax,fnd,0.0
2005,othtax,fnd,0.0
2006,othtax,fnd,0.0
2012,othtax,fnd,0.0
2014,othtax,fnd,0.0
2013,othtax,fnd,0.0
1999,othtax,fnd,0.0
2002,othtax,fnd,0.0
2017,othtax,fnd,0.0
2016,othtax,fnd,0.0
2015,othtax,fnd,0.0
1998,othtax,fnd,0.0
2004,othtax,fnd,0.0
2000,othtax,fnd,0.0
1997,othtax,fnd,0.0
2007,othtax,fnd,0.0
2010,othtax,fnd,0.0
2003,othtax,fnd,0.0
2011,othtax,fnd,0.0
2001,othtax,fnd,0.0
2008,surplus,fnd,81.37221107207141
2009,surplus,fnd,84.09724573360074
2005,surplus,fnd,69.9724991030459
2006,surplus,fnd,73.55481078552509
2012,surplus,fnd,95.12461462205312
2014,surplus,fnd,101.86073480488666
2013,surplus,fnd,98.16977074167146
1999,surplus,fnd,54.31430981206582
2002,surplus,fnd,61.585644104421405
2017,surplus,fnd,110.44982277037083
2016,surplus,fnd,106.23366347253908
2015,surplus,fnd,103.97185860833677
1998,surplus,fnd,51.68009572493799
2004,surplus,fnd,66.66498812201236
2000,surplus,fnd,57.56770797460286
1997,surplus,fnd,50.037406918064896
2007,surplus,fnd,77.4052359078744
2010,surplus,fnd,88.02513004200173
2003,surplus,fnd,63.84016695645281
2011,surplus,fnd,92.01284979464168
2001,surplus,fnd,59.746456922187015
2008,compen,fnd,135.4974461486122
2009,compen,fnd,147.3018143415789
2005,compen,fnd,117.97252079700381
2006,compen,fnd,121.99378538086665
2012,compen,fnd,161.26055840703555
2014,compen,fnd,165.15452282606248
2013,compen,fnd,160.41319943846585
1999,compen,fnd,79.59357366306148
2002,compen,fnd,97.71234246432485
2017,compen,fnd,186.51042222501502
2016,compen,fnd,180.08588403252892
2015,compen,fnd,172.1557658774363
1998,compen,fnd,75.66074856248204
2004,compen,fnd,112.66084415377381
2000,compen,fnd,86.06471981903898
1997,compen,fnd,72.59051361957744
2007,compen,fnd,128.08092402058733
2010,compen,fnd,159.3330713181348
2003,compen,fnd,107.49414108276932
2011,compen,fnd,161.13872570353655
2001,compen,fnd,88.6647781071646
