yr,va,j,value
2017,surplus,fnd,0.0
2016,surplus,fnd,0.0
2015,surplus,fnd,0.0
1998,surplus,fnd,0.0
2004,surplus,fnd,0.0
2000,surplus,fnd,0.0
1997,surplus,fnd,0.0
2007,surplus,fnd,0.0
2010,surplus,fnd,0.0
2003,surplus,fnd,0.0
2011,surplus,fnd,0.0
2001,surplus,fnd,0.0
2008,compen,fnd,0.0
2009,compen,fnd,0.0
2005,compen,fnd,0.0
2006,compen,fnd,0.0
2012,compen,fnd,0.0
2014,compen,fnd,0.0
2013,compen,fnd,0.0
1999,compen,fnd,0.0
2002,compen,fnd,0.0
2017,compen,fnd,0.0
2016,compen,fnd,0.0
2015,compen,fnd,0.0
1998,compen,fnd,0.0
2004,compen,fnd,0.0
2000,compen,fnd,0.0
1997,compen,fnd,0.0
2007,compen,fnd,0.0
2010,compen,fnd,0.0
2003,compen,fnd,0.0
2011,compen,fnd,0.0
2001,compen,fnd,0.0
2008,othtax,pub,0.0
2009,othtax,pub,0.0
2005,othtax,pub,0.0
2006,othtax,pub,0.0
2012,othtax,pub,0.0
2014,othtax,pub,0.0
2013,othtax,pub,0.0
1999,othtax,pub,0.0
2002,othtax,pub,0.0
2017,othtax,pub,0.0
2016,othtax,pub,0.0
2015,othtax,pub,0.0
1998,othtax,pub,0.0
2004,othtax,pub,0.0
2000,othtax,pub,0.0
1997,othtax,pub,0.0
2007,othtax,pub,0.0
2010,othtax,pub,0.0
2003,othtax,pub,0.0
2011,othtax,pub,0.0
2001,othtax,pub,0.0
2008,surplus,pub,0.0
2009,surplus,pub,0.0
2005,surplus,pub,0.0
2006,surplus,pub,0.0
2012,surplus,pub,0.0
2014,surplus,pub,0.0
2013,surplus,pub,0.0
1999,surplus,pub,0.0
2002,surplus,pub,0.0
2017,surplus,pub,0.0
2016,surplus,pub,0.0
2015,surplus,pub,0.0
1998,surplus,pub,0.0
2004,surplus,pub,0.0
2000,surplus,pub,0.0
1997,surplus,pub,0.0
2007,surplus,pub,0.0
2010,surplus,pub,0.0
2003,surplus,pub,0.0
2011,surplus,pub,0.0
2001,surplus,pub,0.0
2008,compen,pub,0.0
2009,compen,pub,0.0
2005,compen,pub,0.0
2006,compen,pub,0.0
2012,compen,pub,0.0
2014,compen,pub,0.0
2013,compen,pub,0.0
1999,compen,pub,0.0
2002,compen,pub,0.0
2017,compen,pub,0.0
2016,compen,pub,0.0
2015,compen,pub,0.0
1998,compen,pub,0.0
2004,compen,pub,0.0
2000,compen,pub,0.0
1997,compen,pub,0.0
2007,compen,pub,0.0
2010,compen,pub,0.0
2003,compen,pub,0.0
2011,compen,pub,0.0
2001,compen,pub,0.0
2008,othtax,hou,0.0
2009,othtax,hou,0.0
2005,othtax,hou,0.0
2006,othtax,hou,0.0
2012,othtax,hou,0.0
2014,othtax,hou,0.0
2013,othtax,hou,0.0
1999,othtax,hou,0.0
2002,othtax,hou,0.0
2017,othtax,hou,0.0
2016,othtax,hou,0.0
2015,othtax,hou,0.0
1998,othtax,hou,0.0
2004,othtax,hou,0.0
2000,othtax,hou,0.0
1997,othtax,hou,0.0
2007,othtax,hou,0.0
2010,othtax,hou,0.0
2003,othtax,hou,0.0
2011,othtax,hou,0.0
2001,othtax,hou,0.0
2008,surplus,hou,0.0
2009,surplus,hou,0.0
2005,surplus,hou,0.0
2006,surplus,hou,0.0
2012,surplus,hou,0.0
2014,surplus,hou,0.0
2013,surplus,hou,0.0
1999,surplus,hou,0.0
2002,surplus,hou,0.0
2017,surplus,hou,0.0
2016,surplus,hou,0.0
2015,surplus,hou,0.0
1998,surplus,hou,0.0
2004,surplus,hou,0.0
2000,surplus,hou,0.0
1997,surplus,hou,0.0
2007,surplus,hou,0.0
2010,surplus,hou,0.0
2003,surplus,hou,0.0
2011,surplus,hou,0.0
2001,surplus,hou,0.0
2008,compen,hou,0.0
2009,compen,hou,0.0
2005,compen,hou,0.0
2006,compen,hou,0.0
2012,compen,hou,0.0
2014,compen,hou,0.0
2013,compen,hou,0.0
1999,compen,hou,0.0
2002,compen,hou,0.0
2017,compen,hou,0.0
2016,compen,hou,0.0
2015,compen,hou,0.0
1998,compen,hou,0.0
2004,compen,hou,0.0
2000,compen,hou,0.0
1997,compen,hou,0.0
2007,compen,hou,0.0
2010,compen,hou,0.0
2003,compen,hou,0.0
2011,compen,hou,0.0
2001,compen,hou,0.0
2008,othtax,fbt,0.0
2009,othtax,fbt,0.0
2005,othtax,fbt,0.0
2006,othtax,fbt,0.0
2012,othtax,fbt,0.0
2014,othtax,fbt,0.0
2013,othtax,fbt,0.0
1999,othtax,fbt,0.0
2002,othtax,fbt,0.0
2017,othtax,fbt,0.0
2016,othtax,fbt,0.0
2015,othtax,fbt,0.0
1998,othtax,fbt,0.0
2004,othtax,fbt,0.0
2000,othtax,fbt,0.0
1997,othtax,fbt,0.0
2007,othtax,fbt,0.0
2010,othtax,fbt,0.0
2003,othtax,fbt,0.0
2011,othtax,fbt,0.0
2001,othtax,fbt,0.0
2008,surplus,fbt,0.0
2009,surplus,fbt,0.0
2005,surplus,fbt,0.0
2006,surplus,fbt,0.0
2012,surplus,fbt,0.0
2014,surplus,fbt,0.0
2013,surplus,fbt,0.0
1999,surplus,fbt,0.0
2002,surplus,fbt,0.0
2017,surplus,fbt,0.0
2016,surplus,fbt,0.0
2015,surplus,fbt,0.0
1998,surplus,fbt,0.0
2004,surplus,fbt,0.0
2000,surplus,fbt,0.0
1997,surplus,fbt,0.0
2007,surplus,fbt,0.0
2010,surplus,fbt,0.0
2003,surplus,fbt,0.0
2011,surplus,fbt,0.0
2001,surplus,fbt,0.0
