uni_0,uni_1,uni_2,uni_3,value
NE,2012,11115,millions of us dollars (USD),8052.2789999999995
NE,2012,11119,millions of us dollars (USD),1266.808
NE,2012,1112,millions of us dollars (USD),95.33399999999999
NE,2012,1113,millions of us dollars (USD),2.323
NE,2012,1114,millions of us dollars (USD),44.711
NE,2012,1119,millions of us dollars (USD),396.71799999999996
NE,2012,11211,millions of us dollars (USD),795.0469999999999
NE,2012,11212,millions of us dollars (USD),21.77
NE,2012,1122,millions of us dollars (USD),79.03699999999999
NE,2012,1123,millions of us dollars (USD),6.59
NE,2012,1129,millions of us dollars (USD),35.663
NE,2012,11114,millions of us dollars (USD),154.785
NE,2012,11113,millions of us dollars (USD),12.392999999999999
NE,2012,11112,millions of us dollars (USD),0.595
NE,2017,11111,millions of us dollars (USD),759.8679999999999
NE,2017,11115,millions of us dollars (USD),5723.427
NE,2017,11119,millions of us dollars (USD),1614.078
NE,2017,1112,millions of us dollars (USD),87.176
NE,2017,1113,millions of us dollars (USD),2.586
NE,2017,1114,millions of us dollars (USD),52.592
NE,2017,1119,millions of us dollars (USD),141.153
NE,2017,11211,millions of us dollars (USD),682.838
NE,2017,11212,millions of us dollars (USD),32.092
NE,2017,1122,millions of us dollars (USD),86.774
NE,2017,1123,millions of us dollars (USD),4.697
NE,2017,1124,millions of us dollars (USD),0.617
NE,2017,1125,millions of us dollars (USD),0.03
NE,2017,1129,millions of us dollars (USD),25.657999999999998
NE,2017,11114,millions of us dollars (USD),43.864999999999995
NE,2017,11113,millions of us dollars (USD),51.166999999999994
NE,2017,11112,millions of us dollars (USD),2.3899999999999997
KY,2012,11111,millions of us dollars (USD),429.938
KY,2012,11115,millions of us dollars (USD),395.313
KY,2012,11119,millions of us dollars (USD),712.826
KY,2012,1112,millions of us dollars (USD),22.017
KY,2012,1113,millions of us dollars (USD),6.096
KY,2012,1114,millions of us dollars (USD),73.88199999999999
KY,2012,1119,millions of us dollars (USD),442.844
KY,2012,11211,millions of us dollars (USD),96.449
KY,2012,11212,millions of us dollars (USD),40.556999999999995
KY,2012,1122,millions of us dollars (USD),14.366
KY,2012,1123,millions of us dollars (USD),36.122
KY,2012,1124,millions of us dollars (USD),0.426
KY,2012,1125,millions of us dollars (USD),0.04
KY,2012,1129,millions of us dollars (USD),5.638999999999999
KY,2017,11111,millions of us dollars (USD),550.723
KY,2017,11115,millions of us dollars (USD),562.283
KY,2017,11119,millions of us dollars (USD),640.106
KY,2017,1112,millions of us dollars (USD),25.456999999999997
KY,2017,1113,millions of us dollars (USD),6.146
KY,2017,1114,millions of us dollars (USD),74.541
KY,2017,1119,millions of us dollars (USD),479.787
KY,2017,11211,millions of us dollars (USD),98.752
KY,2017,11212,millions of us dollars (USD),35.071999999999996
KY,2017,1122,millions of us dollars (USD),12.270999999999999
KY,2017,1123,millions of us dollars (USD),43.714999999999996
KY,2017,1129,millions of us dollars (USD),10.799
NM,2012,11115,millions of us dollars (USD),39.838
NM,2012,11119,millions of us dollars (USD),49.144
NM,2012,1112,millions of us dollars (USD),97.383
NM,2012,1113,millions of us dollars (USD),105.878
NM,2012,1114,millions of us dollars (USD),44.711999999999996
NM,2012,1119,millions of us dollars (USD),248.099
NM,2012,11211,millions of us dollars (USD),21.604
NM,2012,11212,millions of us dollars (USD),7.592
NM,2012,1129,millions of us dollars (USD),0.416
NM,2017,11115,millions of us dollars (USD),39.748
NM,2017,11119,millions of us dollars (USD),46.393
NM,2017,1112,millions of us dollars (USD),98.261
NM,2017,1113,millions of us dollars (USD),202.47899999999998
NM,2017,1114,millions of us dollars (USD),39.912
NM,2017,1119,millions of us dollars (USD),186.119
NM,2017,11211,millions of us dollars (USD),24.055999999999997
NM,2017,11212,millions of us dollars (USD),10.975
NM,2017,1123,millions of us dollars (USD),0.056999999999999995
NM,2017,1124,millions of us dollars (USD),0.13799999999999998
NM,2017,1129,millions of us dollars (USD),1.048
NM,2017,11114,millions of us dollars (USD),1.357
IL,2012,11111,millions of us dollars (USD),2587.484
IL,2012,11115,millions of us dollars (USD),9464.215
IL,2012,11119,millions of us dollars (USD),1068.974
IL,2012,1112,millions of us dollars (USD),99.95299999999999
IL,2012,1113,millions of us dollars (USD),18.899
IL,2012,1114,millions of us dollars (USD),326.74399999999997
IL,2012,1119,millions of us dollars (USD),64.886
IL,2012,11211,millions of us dollars (USD),190.46099999999998
IL,2012,11212,millions of us dollars (USD),61.751
IL,2012,1122,millions of us dollars (USD),205.227
IL,2017,11111,millions of us dollars (USD),2660.348
IL,2017,11115,millions of us dollars (USD),8722.722
IL,2017,11119,millions of us dollars (USD),1435.032
IL,2017,1112,millions of us dollars (USD),101.317
IL,2017,1113,millions of us dollars (USD),22.776
IL,2017,1114,millions of us dollars (USD),371.546
IL,2017,1119,millions of us dollars (USD),53.421
IL,2017,11211,millions of us dollars (USD),118.50999999999999
IL,2017,11212,millions of us dollars (USD),75.27199999999999
IL,2017,1122,millions of us dollars (USD),244.684
IL,2017,1123,millions of us dollars (USD),4.3759999999999994
IL,2017,1124,millions of us dollars (USD),0.891
IL,2017,1129,millions of us dollars (USD),26.602
NC,2012,11111,millions of us dollars (USD),265.19399999999996
NC,2012,11115,millions of us dollars (USD),321.858
NC,2012,11119,millions of us dollars (USD),706.7149999999999
NC,2012,1112,millions of us dollars (USD),392.796
NC,2012,1113,millions of us dollars (USD),76.862
NC,2012,1114,millions of us dollars (USD),642.401
NC,2012,1119,millions of us dollars (USD),1528.397
NC,2012,11211,millions of us dollars (USD),14.83
NC,2012,11212,millions of us dollars (USD),16.592
NC,2012,1122,millions of us dollars (USD),116.133
NC,2012,1123,millions of us dollars (USD),183.438
NC,2012,1124,millions of us dollars (USD),0.19999999999999998
NC,2012,1125,millions of us dollars (USD),0.121
NC,2012,1129,millions of us dollars (USD),32.244
NC,2012,11114,millions of us dollars (USD),5.098
NC,2017,11111,millions of us dollars (USD),231.695
NC,2017,11115,millions of us dollars (USD),240.755
NC,2017,11119,millions of us dollars (USD),362.53499999999997
NC,2017,1112,millions of us dollars (USD),482.76
NC,2017,1113,millions of us dollars (USD),101.90599999999999
NC,2017,1114,millions of us dollars (USD),636.733
NC,2017,1119,millions of us dollars (USD),1383.293
NC,2017,11211,millions of us dollars (USD),15.806
NC,2017,11212,millions of us dollars (USD),15.417
NC,2017,1122,millions of us dollars (USD),95.854
NC,2017,1123,millions of us dollars (USD),139.152
NC,2017,1124,millions of us dollars (USD),0.444
NC,2017,1125,millions of us dollars (USD),0.286
NC,2017,1129,millions of us dollars (USD),27.232
NC,2017,11114,millions of us dollars (USD),1.1059999999999999
VA,2012,11111,millions of us dollars (USD),155.405
VA,2012,11115,millions of us dollars (USD),89.94
VA,2012,11119,millions of us dollars (USD),289.181
VA,2012,1112,millions of us dollars (USD),85.35499999999999
VA,2012,1113,millions of us dollars (USD),62.334999999999994
VA,2012,1114,millions of us dollars (USD),250.35399999999998
VA,2012,1119,millions of us dollars (USD),306.352
VA,2012,11211,millions of us dollars (USD),49.189
VA,2012,11212,millions of us dollars (USD),37.629
VA,2012,1123,millions of us dollars (USD),24.997
VA,2012,1124,millions of us dollars (USD),0.307
VA,2012,1129,millions of us dollars (USD),3.481
VA,2012,11114,millions of us dollars (USD),2.904
VA,2017,11111,millions of us dollars (USD),123.16199999999999
VA,2017,11115,millions of us dollars (USD),91.65899999999999
VA,2017,11119,millions of us dollars (USD),175.896
VA,2017,1112,millions of us dollars (USD),114.008
VA,2017,1113,millions of us dollars (USD),70.482
VA,2017,1114,millions of us dollars (USD),339.539
VA,2017,1119,millions of us dollars (USD),322.459
VA,2017,11211,millions of us dollars (USD),60.744
VA,2017,11212,millions of us dollars (USD),30.456
VA,2017,1122,millions of us dollars (USD),2.948
VA,2017,1123,millions of us dollars (USD),22.752
VA,2017,1124,millions of us dollars (USD),0.39999999999999997
VA,2017,1125,millions of us dollars (USD),0.013
VA,2017,1129,millions of us dollars (USD),6.403
VA,2017,11114,millions of us dollars (USD),0.535
CT,2012,1112,millions of us dollars (USD),32.964999999999996
CT,2012,1113,millions of us dollars (USD),27.067999999999998
CT,2012,1114,millions of us dollars (USD),258.589
CT,2012,1119,millions of us dollars (USD),49.181
CT,2012,11211,millions of us dollars (USD),0.355
CT,2012,11212,millions of us dollars (USD),13.157
CT,2012,1122,millions of us dollars (USD),0.072
CT,2012,1123,millions of us dollars (USD),0.06999999999999999
CT,2012,1129,millions of us dollars (USD),0.253
CT,2017,1112,millions of us dollars (USD),34.704
CT,2017,1113,millions of us dollars (USD),23.884
CT,2017,1114,millions of us dollars (USD),301.144
CT,2017,1119,millions of us dollars (USD),46.629
CT,2017,11211,millions of us dollars (USD),0.498
CT,2017,11212,millions of us dollars (USD),9.424999999999999
CT,2017,1123,millions of us dollars (USD),0.174
CT,2017,1124,millions of us dollars (USD),0.053
MI,2012,11111,millions of us dollars (USD),393.542
MI,2012,11115,millions of us dollars (USD),1644.3329999999999
MI,2012,11119,millions of us dollars (USD),1360.028
MI,2012,1112,millions of us dollars (USD),454.089
MI,2012,1113,millions of us dollars (USD),249.887
MI,2012,1114,millions of us dollars (USD),754.5849999999999
MI,2012,1119,millions of us dollars (USD),261.667
MI,2012,11211,millions of us dollars (USD),89.83999999999999
MI,2012,11212,millions of us dollars (USD),185.04399999999998
MI,2012,1122,millions of us dollars (USD),64.303
MI,2012,1123,millions of us dollars (USD),13.575999999999999
MI,2012,1124,millions of us dollars (USD),1.311
MI,2012,1125,millions of us dollars (USD),0.006
MI,2012,1129,millions of us dollars (USD),11.219999999999999
MI,2012,11114,millions of us dollars (USD),13.055
MI,2017,11111,millions of us dollars (USD),522.422
MI,2017,11115,millions of us dollars (USD),886.323
MI,2017,11119,millions of us dollars (USD),942.413
MI,2017,1112,millions of us dollars (USD),528.483
MI,2017,1113,millions of us dollars (USD),437.346
MI,2017,1114,millions of us dollars (USD),765.7819999999999
MI,2017,1119,millions of us dollars (USD),196.944
MI,2017,11211,millions of us dollars (USD),96.803
MI,2017,11212,millions of us dollars (USD),151.33499999999998
MI,2017,1122,millions of us dollars (USD),67.286
MI,2017,1123,millions of us dollars (USD),8.687999999999999
MI,2017,1124,millions of us dollars (USD),1.274
MI,2017,1125,millions of us dollars (USD),0.033
MI,2017,1129,millions of us dollars (USD),7.7459999999999996
MI,2017,11114,millions of us dollars (USD),4.476
MI,2017,11113,millions of us dollars (USD),26.858999999999998
