uni_0,uni_1,uni_2,uni_3,value
2008,NC,npish,millions of us dollars (USD),1381.0
2008,NC,npi,millions of us dollars (USD),19950.6
2008,NC,nps,millions of us dollars (USD),18569.6
2008,VA,rec,millions of us dollars (USD),8430.1
2008,VA,trn,millions of us dollars (USD),6873.3
2008,VA,pce,millions of us dollars (USD),278185.5
2008,VA,gds,millions of us dollars (USD),92640.4
2008,VA,dur,millions of us dollars (USD),30538.3
2008,VA,mvp,millions of us dollars (USD),9977.2
2008,VA,hdr,millions of us dollars (USD),7513.0
2008,VA,odg,millions of us dollars (USD),4618.1
2008,VA,ndr,millions of us dollars (USD),62102.1
2008,VA,foo,millions of us dollars (USD),20492.2
2008,VA,clo,millions of us dollars (USD),8927.0
2008,VA,enr,millions of us dollars (USD),11734.9
2008,VA,ong,millions of us dollars (USD),20948.0
2008,VA,ser,millions of us dollars (USD),185545.0
2008,VA,hce,millions of us dollars (USD),180479.4
2008,VA,utl,millions of us dollars (USD),50533.0
2008,VA,hea,millions of us dollars (USD),36823.1
2008,VA,rsr,millions of us dollars (USD),10000.8
2008,VA,htl,millions of us dollars (USD),17482.8
2008,VA,fsr,millions of us dollars (USD),26187.9
2008,VA,osr,millions of us dollars (USD),32578.5
2008,VA,npish,millions of us dollars (USD),5065.6
2008,VA,npi,millions of us dollars (USD),25426.3
2008,VA,nps,millions of us dollars (USD),20360.7
2008,CT,rec,millions of us dollars (USD),4302.3
2008,CT,trn,millions of us dollars (USD),5100.9
2008,CT,pce,millions of us dollars (USD),149127.3
2008,CT,gds,millions of us dollars (USD),46349.9
2008,CT,dur,millions of us dollars (USD),14823.5
2008,CT,mvp,millions of us dollars (USD),4374.9
2008,CT,hdr,millions of us dollars (USD),3849.2
2008,CT,odg,millions of us dollars (USD),2297.1
2008,CT,ndr,millions of us dollars (USD),31526.3
2008,CT,foo,millions of us dollars (USD),10058.3
2008,CT,clo,millions of us dollars (USD),4481.9
2008,CT,enr,millions of us dollars (USD),4988.4
2008,CT,ong,millions of us dollars (USD),11997.7
2008,CT,ser,millions of us dollars (USD),102777.4
2008,CT,hce,millions of us dollars (USD),97655.0
2008,CT,utl,millions of us dollars (USD),29898.5
2008,CT,hea,millions of us dollars (USD),21489.6
2008,CT,rsr,millions of us dollars (USD),5995.8
2008,CT,htl,millions of us dollars (USD),7272.5
2008,CT,fsr,millions of us dollars (USD),13402.8
2008,CT,osr,millions of us dollars (USD),14494.9
2008,CT,npish,millions of us dollars (USD),5122.4
2008,CT,npi,millions of us dollars (USD),18385.0
2008,CT,nps,millions of us dollars (USD),13262.6
2008,MI,rec,millions of us dollars (USD),9818.8
2008,MI,trn,millions of us dollars (USD),13207.2
2008,MI,pce,millions of us dollars (USD),309969.2
2008,MI,gds,millions of us dollars (USD),99131.8
2008,MI,dur,millions of us dollars (USD),30714.9
2008,MI,mvp,millions of us dollars (USD),7514.5
2008,MI,hdr,millions of us dollars (USD),7069.1
2008,MI,odg,millions of us dollars (USD),6312.5
2008,MI,ndr,millions of us dollars (USD),68416.9
2008,MI,foo,millions of us dollars (USD),23548.9
2008,MI,clo,millions of us dollars (USD),8625.0
2008,MI,enr,millions of us dollars (USD),12675.8
2008,MI,ong,millions of us dollars (USD),23567.2
2008,MI,ser,millions of us dollars (USD),210837.5
2008,MI,hce,millions of us dollars (USD),195291.4
2008,MI,utl,millions of us dollars (USD),58658.3
2008,MI,hea,millions of us dollars (USD),50312.0
2008,MI,rsr,millions of us dollars (USD),13080.3
2008,MI,htl,millions of us dollars (USD),15610.6
2008,MI,fsr,millions of us dollars (USD),22696.7
2008,MI,osr,millions of us dollars (USD),21726.4
2008,MI,npish,millions of us dollars (USD),15546.0
2008,MI,npi,millions of us dollars (USD),43324.3
2008,MI,nps,millions of us dollars (USD),27778.3
2008,DE,rec,millions of us dollars (USD),1393.3
2008,DE,trn,millions of us dollars (USD),794.6
2008,DE,pce,millions of us dollars (USD),31111.7
2008,DE,gds,millions of us dollars (USD),10614.4
2008,DE,dur,millions of us dollars (USD),3909.1
2008,DE,mvp,millions of us dollars (USD),1247.4
2008,DE,hdr,millions of us dollars (USD),625.3
2008,DE,odg,millions of us dollars (USD),643.0
2008,DE,ndr,millions of us dollars (USD),6705.3
2008,DE,foo,millions of us dollars (USD),2764.9
2008,DE,clo,millions of us dollars (USD),929.4
2008,DE,enr,millions of us dollars (USD),1159.9
2008,DE,ong,millions of us dollars (USD),1851.2
2008,DE,ser,millions of us dollars (USD),20497.3
2008,DE,hce,millions of us dollars (USD),19475.0
2008,DE,utl,millions of us dollars (USD),5531.2
2008,DE,hea,millions of us dollars (USD),5410.9
2008,DE,rsr,millions of us dollars (USD),1008.7
2008,DE,htl,millions of us dollars (USD),2015.5
2008,DE,fsr,millions of us dollars (USD),1869.9
2008,DE,osr,millions of us dollars (USD),2844.1
2008,DE,npish,millions of us dollars (USD),1022.3
2008,DE,npi,millions of us dollars (USD),3498.5
2008,DE,nps,millions of us dollars (USD),2476.2
2008,HI,rec,millions of us dollars (USD),1875.9
2008,HI,trn,millions of us dollars (USD),1368.5
2008,HI,pce,millions of us dollars (USD),46601.1
2008,HI,gds,millions of us dollars (USD),15430.4
2008,HI,dur,millions of us dollars (USD),5125.1
2008,HI,mvp,millions of us dollars (USD),1348.9
2008,HI,hdr,millions of us dollars (USD),1220.6
2008,HI,odg,millions of us dollars (USD),679.6
2008,HI,ndr,millions of us dollars (USD),10305.4
2008,HI,foo,millions of us dollars (USD),4227.6
2008,HI,clo,millions of us dollars (USD),977.9
2008,HI,enr,millions of us dollars (USD),1209.3
2008,HI,ong,millions of us dollars (USD),3890.5
2008,HI,ser,millions of us dollars (USD),31170.7
2008,HI,hce,millions of us dollars (USD),29000.3
2008,HI,utl,millions of us dollars (USD),9293.2
2008,HI,hea,millions of us dollars (USD),6710.8
2008,HI,rsr,millions of us dollars (USD),1468.8
2008,HI,htl,millions of us dollars (USD),2291.6
2008,HI,fsr,millions of us dollars (USD),3439.9
2008,HI,osr,millions of us dollars (USD),4427.4
2008,HI,npish,millions of us dollars (USD),2170.4
2008,HI,npi,millions of us dollars (USD),5549.1
2008,HI,nps,millions of us dollars (USD),3378.8
2008,GA,rec,millions of us dollars (USD),7928.7
2008,GA,trn,millions of us dollars (USD),6582.3
2008,GA,pce,millions of us dollars (USD),273696.8
2008,GA,gds,millions of us dollars (USD),99355.3
2008,GA,dur,millions of us dollars (USD),31781.6
2008,GA,mvp,millions of us dollars (USD),10930.7
2008,GA,hdr,millions of us dollars (USD),8157.2
2008,GA,odg,millions of us dollars (USD),4765.1
2008,GA,ndr,millions of us dollars (USD),67573.7
2008,GA,foo,millions of us dollars (USD),22638.3
2008,GA,clo,millions of us dollars (USD),9612.5
2008,GA,enr,millions of us dollars (USD),12949.0
2008,GA,ong,millions of us dollars (USD),22373.9
2008,GA,ser,millions of us dollars (USD),174341.5
2008,GA,hce,millions of us dollars (USD),171230.0
2008,GA,utl,millions of us dollars (USD),48733.6
2008,GA,hea,millions of us dollars (USD),39917.2
2008,GA,rsr,millions of us dollars (USD),9347.2
2008,GA,htl,millions of us dollars (USD),18759.7
