year,state,windc_label,units,value
2004,MS,pce,millions of us dollars (USD),61585.4
2004,MO,pce,millions of us dollars (USD),157708.8
2004,MT,pce,millions of us dollars (USD),24595.4
2004,NE,pce,millions of us dollars (USD),47080.7
2004,NV,pce,millions of us dollars (USD),67769.6
2004,NH,pce,millions of us dollars (USD),43750.6
2004,NJ,pce,millions of us dollars (USD),293198.3
2004,NM,pce,millions of us dollars (USD),44924.5
2004,NY,pce,millions of us dollars (USD),563955.6
2004,NC,pce,millions of us dollars (USD),217557.4
2004,ND,pce,millions of us dollars (USD),17299.6
2004,OH,pce,millions of us dollars (USD),306342.4
2004,OK,pce,millions of us dollars (USD),80825.1
2004,OR,pce,millions of us dollars (USD),97919.6
2004,PA,pce,millions of us dollars (USD),370903.4
2004,RI,pce,millions of us dollars (USD),31577.4
2004,SC,pce,millions of us dollars (USD),105225.8
2004,SD,pce,millions of us dollars (USD),19348.3
2004,TN,pce,millions of us dollars (USD),149220.1
2004,TX,pce,millions of us dollars (USD),575591.4
2004,UT,pce,millions of us dollars (USD),56035.9
2004,VT,pce,millions of us dollars (USD),19550.2
2004,VA,pce,millions of us dollars (USD),223149.6
2004,WA,pce,millions of us dollars (USD),182926.2
2004,WV,pce,millions of us dollars (USD),42156.7
2004,WI,pce,millions of us dollars (USD),152421.0
2004,WY,pce,millions of us dollars (USD),14256.6
2005,US,pce,millions of us dollars (USD),8769066.0
2005,AL,pce,millions of us dollars (USD),115868.6
2005,AK,pce,millions of us dollars (USD),23313.9
2005,AZ,pce,millions of us dollars (USD),169864.4
2005,AR,pce,millions of us dollars (USD),65762.2
2005,CA,pce,millions of us dollars (USD),1106797.6
2005,CO,pce,millions of us dollars (USD),148249.8
2005,CT,pce,millions of us dollars (USD),129335.2
2005,DE,pce,millions of us dollars (USD),28841.4
2005,DC,pce,millions of us dollars (USD),28744.2
2005,FL,pce,millions of us dollars (USD),557249.0
2005,GA,pce,millions of us dollars (USD),247108.9
2005,HI,pce,millions of us dollars (USD),40553.3
2005,ID,pce,millions of us dollars (USD),35200.0
2005,IL,pce,millions of us dollars (USD),383670.3
2005,IN,pce,millions of us dollars (USD),169376.6
2005,IA,pce,millions of us dollars (USD),79368.9
