windc_label,state,year,units,value
col,AZ,2001,million metric tons of carbon dioxide,40.38395564426499
col,AR,2001,million metric tons of carbon dioxide,26.09235696640253
col,CA,2001,million metric tons of carbon dioxide,6.407111421926574
col,CO,2001,million metric tons of carbon dioxide,38.10735110434023
col,CT,2001,million metric tons of carbon dioxide,3.810433551907435
col,DE,2001,million metric tons of carbon dioxide,3.647167431104142
col,DC,2001,million metric tons of carbon dioxide,0.07061783966345533
col,FL,2001,million metric tons of carbon dioxide,69.12787833714889
col,GA,2001,million metric tons of carbon dioxide,73.49727138195856
col,HI,2001,million metric tons of carbon dioxide,1.691060202557113
col,ID,2001,million metric tons of carbon dioxide,1.072403347309938
col,IL,2001,million metric tons of carbon dioxide,93.53807848272022
col,IN,2001,million metric tons of carbon dioxide,148.7051356322692
col,IA,2001,million metric tons of carbon dioxide,42.22606778177276
col,KS,2001,million metric tons of carbon dioxide,33.78685996052624
col,KY,2001,million metric tons of carbon dioxide,96.40014224899903
col,LA,2001,million metric tons of carbon dioxide,22.8643729843275
col,ME,2001,million metric tons of carbon dioxide,0.7464530710082847
col,MD,2001,million metric tons of carbon dioxide,30.33997291318175
col,MA,2001,million metric tons of carbon dioxide,10.38532756666347
col,MI,2001,million metric tons of carbon dioxide,75.04757697911923
col,MN,2001,million metric tons of carbon dioxide,33.63390852869625
col,MS,2001,million metric tons of carbon dioxide,18.88755590065944
col,MO,2001,million metric tons of carbon dioxide,68.22972526658475
col,MT,2001,million metric tons of carbon dioxide,17.56696015287957
col,NE,2001,million metric tons of carbon dioxide,21.58729778016503
col,NV,2001,million metric tons of carbon dioxide,17.9615423640799
col,NH,2001,million metric tons of carbon dioxide,3.823201370806881
col,NJ,2001,million metric tons of carbon dioxide,10.69126203116956
col,NM,2001,million metric tons of carbon dioxide,28.30571341466565
col,NY,2001,million metric tons of carbon dioxide,29.13620424972945
col,NC,2001,million metric tons of carbon dioxide,72.00761711760921
col,ND,2001,million metric tons of carbon dioxide,39.90492933550195
col,OH,2001,million metric tons of carbon dioxide,129.6182550638009
col,OK,2001,million metric tons of carbon dioxide,35.81930169734112
col,OR,2001,million metric tons of carbon dioxide,4.131913929660333
col,PA,2001,million metric tons of carbon dioxide,132.0092728600877
col,RI,2001,million metric tons of carbon dioxide,0.004860337142828909
col,SC,2001,million metric tons of carbon dioxide,39.42593044733783
col,SD,2001,million metric tons of carbon dioxide,4.220108170616916
col,TN,2001,million metric tons of carbon dioxide,65.38054163280148
col,TX,2001,million metric tons of carbon dioxide,142.1623982207967
col,UT,2001,million metric tons of carbon dioxide,36.55198354207819
col,VT,2001,million metric tons of carbon dioxide,0.004860337142828909
col,VA,2001,million metric tons of carbon dioxide,46.29191749829485
col,WA,2001,million metric tons of carbon dioxide,9.47145346620235
col,WV,2001,million metric tons of carbon dioxide,82.41764642079755
col,WI,2001,million metric tons of carbon dioxide,47.02632956122365
col,WY,2001,million metric tons of carbon dioxide,47.58336668835204
col,US,2001,million metric tons of carbon dioxide,2083.380359019679
col,AL,2002,million metric tons of carbon dioxide,80.52030204987334
col,AK,2002,million metric tons of carbon dioxide,1.566503115430979
col,AZ,2002,million metric tons of carbon dioxide,38.78677365643118
col,AR,2002,million metric tons of carbon dioxide,24.3526006110757
col,CA,2002,million metric tons of carbon dioxide,6.601987617997354
col,CO,2002,million metric tons of carbon dioxide,37.27390872663759
col,CT,2002,million metric tons of carbon dioxide,3.266020828516562
col,DE,2002,million metric tons of carbon dioxide,3.86592673375308
col,DC,2002,million metric tons of carbon dioxide,0.009425132279540172
col,FL,2002,million metric tons of carbon dioxide,68.66151960021179
col,GA,2002,million metric tons of carbon dioxide,76.98184641843368
col,HI,2002,million metric tons of carbon dioxide,1.58556620600134
col,ID,2002,million metric tons of carbon dioxide,0.9560531246184861
col,IL,2002,million metric tons of carbon dioxide,93.99354529795527
col,IN,2002,million metric tons of carbon dioxide,146.5958731648557
col,IA,2002,million metric tons of carbon dioxide,42.05351330938225
col,KS,2002,million metric tons of carbon dioxide,37.38925478706009
col,KY,2002,million metric tons of carbon dioxide,90.63487491301636
col,LA,2002,million metric tons of carbon dioxide,22.15988796563334
col,ME,2002,million metric tons of carbon dioxide,0.7598278815105869
col,MD,2002,million metric tons of carbon dioxide,31.05132163181219
col,MA,2002,million metric tons of carbon dioxide,11.29823323777595
col,MI,2002,million metric tons of carbon dioxide,70.44772988929
col,MN,2002,million metric tons of carbon dioxide,34.40860746029341
col,MS,2002,million metric tons of carbon dioxide,14.7301840811713
col,MO,2002,million metric tons of carbon dioxide,69.24738943472332
col,MT,2002,million metric tons of carbon dioxide,15.87843410186972
col,NE,2002,million metric tons of carbon dioxide,20.79518715721562
col,NV,2002,million metric tons of carbon dioxide,15.72552269378193
col,NH,2002,million metric tons of carbon dioxide,3.804442450789764
col,NJ,2002,million metric tons of carbon dioxide,10.01090436690495
col,NM,2002,million metric tons of carbon dioxide,27.12622635549604
col,NY,2002,million metric tons of carbon dioxide,26.67346457481618
col,NC,2002,million metric tons of carbon dioxide,73.53454332500584
col,ND,2002,million metric tons of carbon dioxide,40.20808148338251
col,OH,2002,million metric tons of carbon dioxide,133.1425188635982
col,OK,2002,million metric tons of carbon dioxide,37.34394107678623
col,OR,2002,million metric tons of carbon dioxide,3.602562506545582
col,PA,2002,million metric tons of carbon dioxide,138.1994465570918
col,RI,2002,million metric tons of carbon dioxide,0.007235455083283364
col,SC,2002,million metric tons of carbon dioxide,38.52930090862366
col,SD,2002,million metric tons of carbon dioxide,3.806194777430089
col,TN,2002,million metric tons of carbon dioxide,62.47395423449855
col,TX,2002,million metric tons of carbon dioxide,147.9016979078648
col,UT,2002,million metric tons of carbon dioxide,35.35565562296624
col,VT,2002,million metric tons of carbon dioxide,0.002380083908974791
col,VA,2002,million metric tons of carbon dioxide,45.85404262153473
col,WA,2002,million metric tons of carbon dioxide,9.623552555410287
col,WV,2002,million metric tons of carbon dioxide,94.6284925930838
col,WI,2002,million metric tons of carbon dioxide,46.90458015452151
col,WY,2002,million metric tons of carbon dioxide,45.81095682736914
col,US,2002,million metric tons of carbon dioxide,2086.14199613132
col,AL,2003,million metric tons of carbon dioxide,83.23836320087098
col,AK,2003,million metric tons of carbon dioxide,1.198871087249705
col,AZ,2003,million metric tons of carbon dioxide,38.84092034806732
col,AR,2003,million metric tons of carbon dioxide,24.23304188756467
col,CA,2003,million metric tons of carbon dioxide,6.548532758043428
col,CO,2003,million metric tons of carbon dioxide,37.67379374124634
col,CT,2003,million metric tons of carbon dioxide,4.002792367842321
col,DE,2003,million metric tons of carbon dioxide,4.488521222797389
col,DC,2003,million metric tons of carbon dioxide,0.01641446661602389
col,FL,2003,million metric tons of carbon dioxide,69.15329647307075
col,GA,2003,million metric tons of carbon dioxide,78.22145220565066
col,HI,2003,million metric tons of carbon dioxide,1.722570768758427
col,ID,2003,million metric tons of carbon dioxide,0.9575306510764974
col,IL,2003,million metric tons of carbon dioxide,96.32700842037202
col,IN,2003,million metric tons of carbon dioxide,148.9579270977755
col,IA,2003,million metric tons of carbon dioxide,42.389301483537
col,KS,2003,million metric tons of carbon dioxide,37.23080591422821
col,KY,2003,million metric tons of carbon dioxide,90.05537731849502
col,LA,2003,million metric tons of carbon dioxide,23.70415650300293
col,ME,2003,million metric tons of carbon dioxide,0.7091635971151754
col,MD,2003,million metric tons of carbon dioxide,31.4510479205656
col,MA,2003,million metric tons of carbon dioxide,10.45438547142842
col,MI,2003,million metric tons of carbon dioxide,71.29940754706705
col,MN,2003,million metric tons of carbon dioxide,37.30866490226908
col,MS,2003,million metric tons of carbon dioxide,17.10319249505509
col,MO,2003,million metric tons of carbon dioxide,76.02808133047084
col,MT,2003,million metric tons of carbon dioxide,18.0666591139906
