yr,i,m,value
2001,hos,trd,5.346430627303591e-12
2001,rnt,trn,5.307685475302924e-12
2001,rnt,trd,5.355539257429061e-12
2001,pla,trn,5.295382678272134e-12
2001,pla,trd,5.343095032351177e-12
2001,fof,trn,5.246033020632869e-12
2001,fof,trd,5.293190965859958e-12
2001,fin,trn,5.281506762538241e-12
2001,fin,trd,5.3291133519134655e-12
2001,tsv,trn,5.2978377644462355e-12
2001,tsv,trd,5.3457410921772625e-12
2001,nrs,trn,5.26824660738653e-12
2001,nrs,trd,5.315652008781231e-12
2001,sec,trn,5.304005062109815e-12
2001,sec,trd,5.351833191441134e-12
2001,art,trn,5.301311278222572e-12
2001,art,trd,5.349073647321783e-12
2001,mov,trn,5.270847400844024e-12
2001,mov,trd,5.31829778251863e-12
2001,fpd,trn,5.256371430391943e-12
2001,fpd,trd,5.303648329049769e-12
2001,slg,trn,5.293491071568152e-12
2001,slg,trd,5.3412237101297926e-12
2001,pri,trn,5.28729628193839e-12
2001,pri,trd,5.334900878807779e-12
2001,grd,trn,5.256701061878453e-12
2001,grd,trd,5.303974572470664e-12
2001,pip,trn,20.955436537184767
2001,pip,trd,5.33900127212623e-12
2001,sle,trn,5.290621714368175e-12
2001,sle,trd,5.338277325222458e-12
2001,osv,trn,5.29807150233438e-12
2001,osv,trd,5.345829134056692e-12
2001,trn,trn,32.1517700822825
2001,trn,trd,5.351108567993164e-12
2001,smn,trn,5.243044651694813e-12
2001,smn,trd,5.2901771760714234e-12
2001,fmt,trn,5.295303440835316e-12
2001,fmt,trd,5.343005348860891e-12
2001,pet,trn,5.2915239271781365e-12
2001,pet,trd,5.339186693951633e-12
2001,mvt,trn,5.281063297528394e-12
2001,mvt,trd,82.84620552217294
2001,cep,trn,5.287434869446434e-12
2001,cep,trd,5.335009394542468e-12
2001,wst,trn,5.283799471008256e-12
2001,wst,trd,5.331392683370195e-12
2001,mot,trn,5.290733951452368e-12
2001,mot,trd,5.33836812855937e-12
2001,adm,trn,5.299156870445236e-12
2001,adm,trd,5.346860130205114e-12
2001,soc,trn,5.253486227900063e-12
2001,soc,trd,5.300760214801276e-12
2001,alt,trn,5.2632462111896175e-12
2001,alt,trd,5.310548969732097e-12
2001,pmt,trn,5.262978186710164e-12
2001,pmt,trd,5.31031007654501e-12
2001,trk,trn,148.89489272170917
2001,trk,trd,5.361086215037169e-12
2001,fdd,trn,5.290211997706314e-12
2001,fdd,trd,5.3378715092364476e-12
2001,gmt,trn,5.278261677355719e-12
2001,gmt,trd,105.16670666740713
2001,wtt,trn,8.499987248398833
